week_monday,city_abbr,brand_slug,brand_zh,city_name,index,index_log,index_z,y,y_z_global,y_z_by_unit,treat_week,rel_week_async,relw_bucket,treated_it,ever_treated,unit
2019-11-25,CQ,CRF,,重庆,141,4.948759890378168,0.0396498833101831,4.948759890378168,0.6768337729312917,-0.9981474664845384,2019-09-16,10,10,1,1,CRF_CQ
2019-12-02,CQ,CRF,,重庆,156,5.049856007249537,0.3126393299007937,5.049856007249537,0.7645530359146676,-0.2232070122097882,2019-09-16,11,11,1,1,CRF_CQ
2019-12-09,CQ,CRF,,重庆,151,5.017279836814924,0.2216428477039235,5.017279836814924,0.7362872849661822,-0.47291583482708927,2019-09-16,12,12,1,1,CRF_CQ
2019-12-16,CQ,CRF,,重庆,148,4.997212273764115,0.1670449583858014,4.997212273764115,0.7188750252754444,-0.6267413912188186,2019-09-16,13,13,1,1,CRF_CQ
2019-12-23,CQ,CRF,,重庆,152,5.0238805208462765,0.2398421441432975,5.0238805208462765,0.7420145785194358,-0.42231906375339445,2019-09-16,14,14,1,1,CRF_CQ
2019-12-30,CQ,CRF,,重庆,173,5.153291594497779,0.6220273693701525,5.153291594497779,0.8543022148194621,0.5696663784894485,2019-09-16,15,15,1,1,CRF_CQ
2020-01-06,CQ,CRF,,重庆,141,4.948759890378168,0.0396498833101831,4.948759890378168,0.6768337729312917,-0.9981474664845384,2019-09-16,16,16,1,1,CRF_CQ
2020-01-13,CQ,CRF,,重庆,164,5.099866427824199,0.458233701415786,5.099866427824199,0.8079461688069991,0.16014201481476423,2019-09-16,17,17,1,1,CRF_CQ
2020-01-20,CQ,CRF,,重庆,171,5.14166355650266,0.5856287764914043,5.14166355650266,0.8442127776141504,0.4805330138743966,2019-09-16,18,18,1,1,CRF_CQ
2020-01-27,CQ,CRF,,重庆,170,5.135798437050262,0.5674294800520303,5.135798437050262,0.8391237200756848,0.4355746270097439,2019-09-16,19,19,1,1,CRF_CQ
2020-02-03,CQ,CRF,,重庆,153,5.030437921392435,0.2580414405826716,5.030437921392435,0.7477043157793516,-0.3720540771707003,2019-09-16,20,20,1,1,CRF_CQ
2019-04-29,GZ,CRF,,广州,225,5.41610040220442,0.470899718005916,5.41610040220442,1.0823366401861523,0.19804023702350287,2019-09-16,-20,-20,0,1,CRF_GZ
2019-05-06,GZ,CRF,,广州,228,5.429345628954441,0.5066081221963531,5.429345628954441,1.0938292826784237,0.2716906012082819,2019-09-16,-19,-19,0,1,CRF_GZ
2019-05-13,GZ,CRF,,广州,226,5.420534999272286,0.4828025194027284,5.420534999272286,1.08618445945419,0.22269890804705286,2019-09-16,-18,-18,0,1,CRF_GZ
2019-05-20,GZ,CRF,,广州,236,5.4638318050256105,0.6018305333708519,5.4638318050256105,1.1237523107995429,0.4634517144695575,2019-09-16,-17,-17,0,1,CRF_GZ
2019-05-27,GZ,CRF,,广州,225,5.41610040220442,0.470899718005916,5.41610040220442,1.0823366401861523,0.19804023702350287,2019-09-16,-16,-16,0,1,CRF_GZ
2019-06-03,GZ,CRF,,广州,246,5.5053315359323625,0.7208585473389755,5.5053315359323625,1.1597608729659863,0.6942118481039463,2019-09-16,-15,-15,0,1,CRF_GZ
2019-06-10,GZ,CRF,,广州,301,5.707110264748875,1.3755126241636548,5.707110264748875,1.3348406082245396,1.8162067480443689,2019-09-16,-14,-14,0,1,CRF_GZ
2019-06-17,GZ,CRF,,广州,538,6.2878585601617845,4.196476555208182,6.2878585601617845,1.8387453478822477,5.045469958414308,2019-09-16,-13,-13,0,1,CRF_GZ
2019-06-24,GZ,CRF,,广州,254,5.537334267018537,0.8160809585134743,5.537334267018537,1.1875290610152487,0.8721637128691568,2019-09-16,-12,-12,0,1,CRF_GZ
2019-07-01,GZ,CRF,,广州,237,5.468060141135132,0.6137333347676642,5.468060141135132,1.1274211611832345,0.48696346706084076,2019-09-16,-11,-11,0,1,CRF_GZ
2019-07-08,GZ,CRF,,广州,226,5.420534999272286,0.4828025194027284,5.420534999272286,1.08618445945419,0.22269890804705286,2019-09-16,-10,-10,0,1,CRF_GZ
2019-07-15,GZ,CRF,,广州,224,5.41164605185504,0.4589969166091037,5.41164605185504,1.0784716813548008,0.17327172745926359,2019-09-16,-9,-9,0,1,CRF_GZ
2019-07-22,GZ,CRF,,广州,218,5.384495062789089,0.3875801082282296,5.384495062789089,1.0549132616662849,0.022298077069991987,2019-09-16,-8,-8,0,1,CRF_GZ
2019-07-29,GZ,CRF,,广州,204,5.318119993844216,0.2209408886728566,5.318119993844216,0.9973208208436249,-0.34678190116231505,2019-09-16,-7,-7,0,1,CRF_GZ
2019-08-05,GZ,CRF,,广州,204,5.318119993844216,0.2209408886728566,5.318119993844216,0.9973208208436249,-0.34678190116231505,2019-09-16,-6,-6,0,1,CRF_GZ
2019-08-12,GZ,CRF,,广州,209,5.342334251964811,0.2804548956569184,5.342334251964811,1.0183310924718656,-0.21213800546281442,2019-09-16,-5,-5,0,1,CRF_GZ
2019-08-19,GZ,CRF,,广州,240,5.480638923341991,0.6494417389581013,5.480638923341991,1.1383355418593786,0.5569080522326051,2019-09-16,-4,-4,0,1,CRF_GZ
2019-08-26,GZ,CRF,,广州,232,5.44673737166631,0.5542193277836025,5.44673737166631,1.1089197816994962,0.3683977553183534,2019-09-16,-3,-3,0,1,CRF_GZ
2019-09-02,GZ,CRF,,广州,208,5.337538079701318,0.268552094260106,5.337538079701318,1.0141695409789409,-0.23880722302820193,2019-09-16,-2,-2,0,1,CRF_GZ
2019-09-09,GZ,CRF,,广州,216,5.375278407684165,0.3637745054346049,5.375278407684165,1.046916137563046,-0.028951329063583504,2019-09-16,-1,-1,0,1,CRF_GZ
2019-09-16,GZ,CRF,,广州,256,5.545177444479562,0.8398865613070989,5.545177444479562,1.1943344435326049,0.9157758674417074,2019-09-16,0,0,1,1,CRF_GZ
2019-09-23,GZ,CRF,,广州,177,5.176149732573829,-0.1004347490410768,5.176149732573829,0.8741358057352688,-1.136210549181174,2019-09-16,1,1,1,1,CRF_GZ
2019-09-30,GZ,CRF,,广州,221,5.3981627015177525,0.4232885124186666,5.3981627015177525,1.0667724233542344,0.09829727201850236,2019-09-16,2,2,1,1,CRF_GZ
2019-10-07,GZ,CRF,,广州,204,5.318119993844216,0.2209408886728566,5.318119993844216,0.9973208208436249,-0.34678190116231505,2019-09-16,3,3,1,1,CRF_GZ
2019-10-14,GZ,CRF,,广州,201,5.303304908059076,0.1852324844824195,5.303304908059076,0.984466040201936,-0.429161499797922,2019-09-16,4,4,1,1,CRF_GZ
2019-10-21,GZ,CRF,,广州,211,5.351858133476067,0.3042604984505431,5.351858133476067,1.0265947913434188,-0.15918026038264366,2019-09-16,5,5,1,1,CRF_GZ
2019-10-28,GZ,CRF,,广州,207,5.332718793265369,0.2566492928632937,5.332718793265369,1.009987933738723,-0.26560496743962586,2019-09-16,6,6,1,1,CRF_GZ
2019-11-04,GZ,CRF,,广州,200,5.298317366548036,0.1733296830856072,5.298317366548036,0.9801384410914376,-0.45689483012193294,2019-09-16,7,7,1,1,CRF_GZ
2019-11-11,GZ,CRF,,广州,197,5.2832037287379885,0.1376212788951701,5.2832037287379885,0.9670246122845219,-0.5409345336222984,2019-09-16,8,8,1,1,CRF_GZ
2019-11-18,GZ,CRF,,广州,197,5.2832037287379885,0.1376212788951701,5.2832037287379885,0.9670246122845219,-0.5409345336222984,2019-09-16,9,9,1,1,CRF_GZ
2019-11-25,GZ,CRF,,广州,185,5.220355825078324,-0.005212337866578,5.220355825078324,0.9124926286664916,-0.890401634498986,2019-09-16,10,10,1,1,CRF_GZ
2019-12-02,GZ,CRF,,广州,179,5.187385805840755,-0.0766291462474521,5.187385805840755,0.8838851422706774,-1.0737321255396415,2019-09-16,11,11,1,1,CRF_GZ
2019-12-09,GZ,CRF,,广州,194,5.267858159063328,0.1019128747047331,5.267858159063328,0.9537095404145114,-0.6262638991735408,2019-09-16,12,12,1,1,CRF_GZ
2019-12-16,GZ,CRF,,广州,201,5.303304908059076,0.1852324844824195,5.303304908059076,0.984466040201936,-0.429161499797922,2019-09-16,13,13,1,1,CRF_GZ
